stop_id,stop_feature
2673,2100
2768,1100
2769,1100
2770,1100
2791,2100
2792,2100
2793,2100
2798,1100
2802,1100
2806,2100
2817,1100
2834,1100
2842,1100
2843,1100
2845,1100
2846,1100
2847,1100
2848,1100
2849,1100
2850,1100
2851,1100
2852,1100
2853,1100
2854,1100
2855,1100
2856,1100
2857,1100
2858,1100
2859,1100
2860,1100
2861,1100
2862,1100
2863,1100
2864,1100
2865,1100
2866,1100
2867,1100
2868,1100
2869,1100
2870,1100
2871,1100
2872,1100
2873,1100
2874,1100
2875,1100
2876,1100
2877,1100
2878,1100
2879,1100
2880,1100
2881,1100
2882,1100
2883,1100
2884,1100
2885,1100
2886,1100
2887,1100
2888,1100
2889,1100
2890,1100
2891,1100
2892,1100
2893,1100
2894,1100
2897,1100
2898,1100
2899,1100
2900,1100
2901,1100
2902,1100
2903,1100
2904,1100
2905,1100
2906,1100
2907,1100
2908,1100
2909,1100
2910,1100
2945,1000
2950,1100
101110,2100
104000,1100
110012,1100
110016,1100
110020,1100
110024,1100
110028,1100
110032,1100
110036,1100
110040,1100
110048,1100
110052,1100
110056,1100
110084,1100
110088,1100
110092,1100
110096,1100
110100,1100
110108,1100
110112,1100
110116,1100
595,4200
598,4200
599,4200
600,4200
605,4200
606,4200
607,4200
608,4200
611,4200
612,4200
615,4200
616,4200
617,4200
628,4200
634,4200
655,4200
709,4200
741,4200
747,4200
828,4200
851,4200
862,4200
877,4200
882,4200
918,4200
973,4200
1185,4200
1246,4200
1314,4200
1339,4200
1651,4200
1774,4200
2842,4200
2843,4200
2845,4200
2846,4200
2847,4200
2848,4200
2849,4200
2850,4200
2851,4200
2852,4200
2853,4200
2854,4200
2855,4200
2856,4200
2857,4200
2858,4200
2859,4200
2860,4200
2861,4200
2862,4200
2864,4200
2865,4200
2867,4200
2868,4200
2869,4200
2870,4200
2871,4200
2872,4200
2874,4200
2875,4200
2876,4200
2877,4200
2878,4200
2879,4200
2880,4200
2881,4200
2882,4200
2883,4200
2884,4200
2885,4200
2886,4200
2887,4200
2888,4200
2889,4200
2890,4200
2891,4200
2892,4200
2897,4200
2898,4200
2899,4200
2900,4200
2901,4200
2902,4200
2903,4200
2904,4200
2905,4200
2906,4200
2907,4200
2908,4200
2909,4200
2910,4200
110012,4200
110016,4200
110020,4200
110024,4200
110028,4200
110032,4200
110036,4200
110040,4200
110048,4200
110052,4200
110056,4200
110084,4200
110088,4200
110092,4200
110096,4200
110100,4200
110108,4200
