trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_direction_name,trip_sort
2660060,28,2,SHERMAN,,1,437X,shp-28-08,1,1,Eastbound,61680
2535130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
833080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2897100,28,7,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,59820
1147100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
3225130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
2364080,28,10,SHERMAN,,1,337+,shp-28-08,1,1,Eastbound,61680
833090,28,4,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
110060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2828130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
1913080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
2363130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
2199130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
1913020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
1583100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2820100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
2535020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
3225020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
2748060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
3225080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
110020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
2337020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
2363100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,32340
1913130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
1147130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
2350100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
416100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
833130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2535090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
2199060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
2748080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
2828100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
1213060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
1147080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
1055020,28,1,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,63480
2748100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
2445020,28,1,SHERMAN,,1,437X,shp-28-07,1,1,Eastbound,58980
2341100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
1583020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
1671100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
110130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,46920
3499020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,37920
2341090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
833020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2341080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
1583080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2660020,28,1,SHERMAN,,1,437X,shp-28-08,1,1,Eastbound,61680
2341020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
416080,28,10,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
2748130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
608130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
2199020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,54060
2748090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,23520
2820090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
1213130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,43320
2820060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,61260
3152080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
2337060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
2341060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
2350020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
2337130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
1583060,28,2,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,34320
2145130,28,5,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
1913100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
2341130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,36120
1147020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,39720
2535080,28,10,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,28740
3152130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
3152100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
2350130,28,5,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
2337090,28,4,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
2897060,28,2,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,59820
927130,28,5,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,63060
1913090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,52260
3152020,28,1,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
608100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
1671020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,45120
2337100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,50520
2828090,28,4,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
3152060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,57600
416060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
833100,28,7,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,48720
2145020,28,1,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
2145100,28,7,SHERMAN,,1,11228,shp-28-09,1,1,Eastbound,55860
608060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,25200
3225100,28,7,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,41520
416020,28,1,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,59400
2350060,28,2,SHERMAN,,1,11328,shp-28-09,1,1,Eastbound,27000
3176080,28,10,SHERMAN,,1,337+,shp-28-07,1,1,Eastbound,58980
2828080,28,10,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
2828060,28,2,SHERMAN,,1,11128,shp-28-09,1,1,Eastbound,30540
2897020,28,1,SHERMAN,,1,438X,shp-28-08,1,1,Eastbound,59820
